"Profit Center","Ergebnisplan Plan/Ist Kämmerer","1 Steuern und ähnliche Abgaben","2 + Zuwendungen und allgemeine Umlagen","3 + Sonstige Transfererträge","4 + Öffentlich-rechtliche Leistungsent-gelte","5 + Privatrecht-liche Leistungs-entgelte","6 + Kostenerstatt-ungen und Kostenumlagen","7 + Sonstige ordentliche Ertäge","8 + Aktivierte Eigenleistungen","10 = Ordentliche Erträge","11 - Personalauf-wendungen","12 - Versorgungsaufwendungen","13 - Aufwendungen für Sach- und Dienstleis-tungen","14 - Bilanzielle Abschreibungen","15 - Transferaufwen-dungen","16 - Sonstige ordentliche Aufwendungen","17 = Ordentliche Aufwendungen","18 = Ergebnis der laufenden Verwaltungs-tätigkeit
(= 10 + 17)","19 + Finanzerträge","20 - Zinsen und ähnliche Finanzaufwen-dungen","21 = Finanzergebnis
(= 19 + 20)","22 = Ordentliches Ergebnis
(= 18 + 21))","23 + Außerordent-liche Erträge","24 - Außerordent-liche Aufwendungen","25 = Außerordent-liches Ergebnis
(= 23 + 24)","26 = Jahresergebnis
(= 22 + 25)","27 + Erträge aus internen Leistungsbe-ziehungen","28 - Aufwendungen aus internen Leistungsbe-ziehungen","29 = Ergebnis
(= 26, 27, 28)"
"Plan 2012",,,-753,,,-24.000,,,,-24.753,972.771,68.918,68.381,9.689,,212.242,1.332.001,1.307.248,,,,1.307.248,,,,1.307.248,-1.144.341,174.574,337.482
"Plan 2013",,,-602,,,-30.000,,,,-30.602,1.004.497,100.812,68.382,9.739,,212.642,1.396.071,1.365.469,,,,1.365.469,,,,1.365.469,-1.183.528,175.262,357.203
"Plan 2014",,,-501,,,-31.000,,,,-31.501,1.011.130,99.663,68.382,9.837,,212.515,1.401.527,1.370.027,,,,1.370.027,,,,1.370.027,-1.186.796,174.832,358.063
"Plan 2015",,,-299,,,-32.000,,,,-32.299,953.450,99.952,68.381,9.797,,212.522,1.344.102,1.311.802,,,,1.311.802,,,,1.311.802,-1.141.899,174.576,344.480
"1106","Organisation und Personal",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-7.978,,,,-1.247.603,-1.313.881,,-2.569.463,8.638.119,2.762.137,299.337,74.896,365.455,1.655.363,13.795.307,11.225.844,-19.747,,-19.747,11.206.097,,,,11.206.097,-11.417.091,1.517.299,1.306.304
"Ansatz 2010",,,-7.679,,,,-2.769.160,,,-2.776.840,8.221.290,734.620,317.900,23.691,370.000,1.728.400,11.395.901,8.619.061,,,,8.619.061,,7.800,7.800,8.626.861,-11.092.166,1.828.996,-636.309
"Ansatz 2011",,,-6.128,,,,-2.756.159,,,-2.762.287,8.318.203,944.554,306.870,11.730,370.000,1.800.600,11.751.956,8.989.669,,,,8.989.669,,7.800,7.800,8.997.469,-9.881.527,1.854.097,970.040
"Plan 2012",,,-10.950,,,,-2.596.400,,,-2.607.350,8.143.347,683.638,412.081,85.027,370.000,1.852.711,11.546.804,8.939.454,,,,8.939.454,,7.800,7.800,8.947.254,-9.771.587,1.418.467,594.134
"Plan 2013",,,-18.334,,,,-2.582.200,,,-2.600.534,8.401.114,993.072,461.087,91.951,370.000,1.883.649,12.200.872,9.600.338,,,,9.600.338,,7.800,7.800,9.608.138,-9.886.194,1.445.325,1.167.269
"Plan 2014",,,-26.515,,,,-2.582.600,,,-2.609.115,8.258.876,953.930,463.087,98.826,370.000,1.845.285,11.990.004,9.380.889,,,,9.380.889,,7.800,7.800,9.388.689,-9.915.948,1.430.145,902.886
"Plan 2015",,,-35.759,,,,-2.580.900,,,-2.616.659,7.963.765,916.716,465.081,105.702,370.000,1.872.191,11.693.456,9.076.796,,,,9.076.796,,7.800,7.800,9.084.596,-9.863.591,1.425.611,646.616
"1107","Finanzmanagement und Rechnungswesen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-268.166,,-50.527.031,-13.287,-8.875,-4.369.320,,-55.186.679,10.422.875,2.867.667,13.313.529,375.126,302.847,46.919.025,74.201.069,19.014.390,-671.701,37.412,-634.289,18.380.100,0,1,1,18.380.101,-13.864.928,4.538.925,9.054.098
"Ansatz 2010",,,-15.881.544,,-53.514.700,,-42.177,-6.208.039,,-75.646.460,9.627.311,932.460,7.830.877,59.817.977,278.000,61.465.484,139.952.108,64.305.647,-300.300,340.000,39.700,64.345.347,,,,64.345.347,-15.321.105,4.627.624,53.651.866
"Ansatz 2011",,,-10.951.578,,-55.216.625,,-1.054.475,-6.301.663,,-73.524.341,10.261.665,1.282.668,2.439.008,62.063.186,251.000,62.944.457,139.241.985,65.717.644,-299.300,340.000,40.700,65.758.344,,,,65.758.344,-32.038.720,21.956.690,55.676.314
"Plan 2012",,,-229.232,,-57.906.028,,-1.052.600,-6.175.900,,-65.363.760,10.223.761,952.491,3.915.614,1.123.585,143.000,64.413.745,80.772.194,15.408.435,-258.000,343.000,85.000,15.493.435,,,,15.493.435,-24.840.072,21.600.891,12.254.254
"Plan 2013",,,-568.943,,-58.835.300,,-1.052.600,-6.266.300,,-66.723.143,10.514.408,1.375.913,4.088.115,1.366.729,75.000,65.261.754,82.681.920,15.958.777,-260.000,343.000,83.000,16.041.777,,,,16.041.777,-25.679.817,22.156.958,12.518.917
"Plan 2014",,,-827.212,,-59.991.300,,-1.052.600,-6.358.500,,-68.229.612,10.269.300,1.315.492,3.868.115,1.501.772,37.000,66.523.822,83.515.501,15.285.889,-262.000,343.000,81.000,15.366.889,,,,15.366.889,-25.195.565,21.820.281,11.991.606
"Plan 2015",,,-1.049.365,,-61.170.300,,-1.052.600,-6.452.500,,-69.724.765,9.417.995,1.192.127,3.768.114,1.573.186,22.000,67.739.902,83.713.323,13.988.558,-270.000,343.000,73.000,14.061.558,,,,14.061.558,-25.469.216,24.487.188,13.079.529
"1108","Technikunterst. Informationsverarbeitung",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-3.027,,,-2.432.324,-188.315,-744.779,,-3.368.445,6.136.632,1.813.788,5.681.979,524.311,,3.083.233,17.239.944,13.871.499,,,,13.871.499,,,,13.871.499,-14.439.004,1.413.330,845.825
"Ansatz 2010",,,-833,,,-2.141.648,-958,-500,,-2.143.940,5.765.278,577.019,5.915.840,848.355,,3.353.900,16.460.392,14.316.452,,,,14.316.452,-2.000,,-2.000,14.314.452,-15.821.822,1.452.559,-54.810
"Ansatz 2011",,,,,,-2.174.848,-957,-500,,-2.176.305,5.701.726,745.642,6.307.027,837.738,,3.282.100,16.874.233,14.697.928,,,,14.697.928,-2.000,,-2.000,14.695.928,-13.638.229,1.452.511,2.510.211
"Plan 2012",,,-502,,,-2.045.000,-155.000,,,-2.200.502,5.626.601,551.253,6.111.805,723.907,,3.349.180,16.362.746,14.162.244,,,,14.162.244,,,,14.162.244,-12.923.771,1.195.447,2.433.920
"Plan 2013",,,-318,,,-2.045.000,-155.000,,,-2.200.318,5.854.816,806.072,6.158.038,932.261,,3.310.999,17.062.186,14.861.868,,,,14.861.868,,,,14.861.868,-14.450.176,1.245.940,1.657.633
"Plan 2014",,,-270,,,-2.045.000,-155.000,,,-2.200.270,5.886.689,796.100,6.077.103,982.939,,3.335.674,17.078.504,14.878.234,,,,14.878.234,,,,14.878.234,-12.892.728,1.235.692,3.221.198
"Plan 2015",,,-270,,,-2.045.000,-155.000,,,-2.200.270,5.924.036,797.870,6.041.703,1.054.754,,3.298.222,17.116.585,14.916.315,,,,14.916.315,,,,14.916.315,-15.852.309,1.242.386,306.392
"1109","Technischer Betrieb",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-923.937,,,-94.183,-21.475,-272.586,,-1.312.181,23.545.169,416.092,3.980.685,1.521.690,,671.308,30.134.943,28.822.762,,,,28.822.762,,,,28.822.762,-24.152.404,2.279.133,6.949.491
"Ansatz 2010",,,-4.000,,,-101.000,-12.595,-2.800,,-120.395,23.623.739,126.083,4.302.591,1.045.560,,787.387,29.885.360,29.764.965,,,,29.764.965,,100,100,29.765.065,-30.814.560,2.910.138,1.860.643
"Ansatz 2011",,,,,,-138.700,-14.495,-3.200,,-156.395,22.176.892,174.432,3.815.047,241.662,,627.118,27.035.151,26.878.756,,,,26.878.756,,100,100,26.878.856,-24.964.778,2.316.782,4.230.860
"Plan 2012",,,-506.834,,,-146.600,-7.600,,,-661.034,21.222.596,136.563,3.902.389,952.333,,648.701,26.862.582,26.201.547,,,,26.201.547,,96,96,26.201.643,-27.678.642,2.013.733,536.734
"Plan 2013",,,-419.692,,,-146.600,-7.600,,,-573.892,19.823.252,199.816,3.357.867,1.356.299,,640.710,25.377.944,24.804.052,,,,24.804.052,,96,96,24.804.148,-27.678.815,2.002.081,-872.587
"Plan 2014",,,-350.718,,,-146.600,-7.600,,,-504.918,19.813.145,197.401,3.038.899,1.485.246,,624.214,25.158.904,24.653.986,,,,24.653.986,,96,96,24.654.082,-27.678.263,1.975.408,-1.048.773
"Plan 2015",,,-245.776,,,-146.600,-7.600,,,-399.976,19.742.255,198.059,2.961.735,1.543.103,,609.177,25.054.330,24.654.354,,,,24.654.354,,96,96,24.654.450,-27.678.566,1.978.132,-1.045.984
"1110","Rechtsangelegenheiten",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-81,,,,-33.582,-178.050,,-211.714,1.034.629,403.762,112.147,6.637,,1.555.059,3.112.233,2.900.520,,,,2.900.520,10,-20,-9,2.900.510,-1.631.915,184.923,1.453.519
"Ansatz 2010",,,,,,,-325.521,-3.100,,-328.621,970.306,142.913,105.660,2.455,,1.633.596,2.854.929,2.526.309,,,,2.526.309,-15.000,303.700,288.700,2.815.009,-2.312.019,206.554,709.544
"Ansatz 2011",,,,,,,-325.515,-3.100,,-328.615,1.009.824,191.008,104.687,1.553,,1.578.294,2.885.366,2.556.750,,,,2.556.750,-15.000,303.700,288.700,2.845.450,-1.767.506,205.865,1.283.810
"Plan 2012",,,,,,,-266.500,-2.600,,-269.100,1.068.379,158.081,150.706,14.646,,1.468.867,2.860.679,2.591.579,,,,2.591.579,-15.000,375.700,360.700,2.952.279,-1.887.487,180.280,1.245.072
"Plan 2013",,,,,,,-266.500,-100,,-266.600,1.125.924,229.616,363.785,13.701,,1.469.573,3.202.599,2.935.999,,,,2.935.999,-15.000,375.700,360.700,3.296.699,-1.973.371,189.777,1.513.105
"Plan 2014",,,,,,,-266.500,-100,,-266.600,1.069.249,214.329,150.094,14.347,,1.469.010,2.917.029,2.650.429,,,,2.650.429,-15.000,375.700,360.700,3.011.129,-1.888.234,182.790,1.305.685
"Plan 2015",,,,,,,-266.500,-100,,-266.600,1.071.345,214.777,150.088,13.592,,1.469.020,2.918.822,2.652.222,,,,2.652.222,-15.000,375.700,360.700,3.012.922,-1.902.065,183.611,1.294.467
"1111","Liegenschaftsmanagement",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-50.284,,21.665,-2.724.894,-16.505,-86.871,-3.770,-2.860.660,1.700.781,307.177,5.816.440,735.222,,198.923,8.758.543,5.897.882,-1.613,16.445,14.832,5.912.714,30,-64,-35,5.912.679,-223.146,1.036.431,6.725.965
"Ansatz 2010",,,-207,,-28.300,-1.689.800,-153,-2.002.100,,-3.720.560,1.639.150,97.612,4.253.289,5.331,,181.887,6.177.269,2.456.709,-1.500,,-1.500,2.455.209,,,,2.455.209,-162.441,536.279,2.829.048
"Ansatz 2011",,,,,-28.300,-6.201.400,-153,-2.002.100,,-8.231.953,1.578.271,130.926,8.123.101,85.590,,1.229.522,11.147.409,2.915.457,-1.500,,-1.500,2.913.957,,,,2.913.957,-161.034,712.587,3.465.510
"Plan 2012",,,-50.175,,-32.000,-6.203.000,,-2.002.700,,-8.287.875,1.810.668,106.120,7.887.025,285.061,,1.224.842,11.313.715,3.025.840,,,,3.025.840,,,,3.025.840,-160.935,866.908,3.731.813
"Plan 2013",,,-49.620,,-32.000,-6.203.000,,-2.002.700,,-8.287.320,1.815.066,155.334,7.672.025,286.350,,1.225.483,11.154.256,2.866.936,,,,2.866.936,,,,2.866.936,-161.162,872.672,3.578.446
"Plan 2014",,,-49.562,,-32.000,-6.203.000,,-2.002.700,,-8.287.262,1.794.205,153.440,7.672.025,287.920,,1.225.278,11.132.867,2.845.605,,,,2.845.605,,,,2.845.605,-160.936,866.085,3.550.754
"Plan 2015",,,-49.331,,-32.000,-6.203.000,,-2.002.700,,-8.287.031,1.653.817,145.488,7.185.326,289.295,,1.225.255,10.499.181,2.212.150,,,,2.212.150,,,,2.212.150,-160.936,851.356,2.902.571
"1112","Integrationsbüro",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-197.492,,,-675,-72,-18.461,,-216.701,439.314,37.633,191.641,9.678,11.475,97.868,787.610,570.909,,,,570.909,3,-6,-4,570.905,-371.264,63.755,263.396
"Ansatz 2010",,,-316.073,,,-100,-38,,,-316.211,501.304,13.954,278.294,3.151,15.000,124.300,936.004,619.793,,,,619.793,,,,619.793,-335.638,66.417,350.572
"Ansatz 2011",,,-372.374,,,-100,-41,,,-372.515,588.072,20.412,273.959,899,15.000,123.800,1.022.141,649.626,,,,649.626,,,,649.626,-387.360,62.122,324.388
"Plan 2012",,,-377.639,,,-100,,,,-377.739,590.481,15.326,268.550,7.010,15.000,119.918,1.016.285,638.546,,,,638.546,,,,638.546,-370.160,65.905,334.292
"Plan 2013",,,-270.812,,,-100,,,,-270.912,524.470,22.407,259.400,7.185,15.000,108.796,937.257,666.344,,,,666.344,,,,666.344,-391.041,64.749,340.053
"Plan 2014",,,-80.634,,,-100,,,,-80.734,452.003,22.130,161.900,7.107,15.000,101.111,759.250,678.516,,,,678.516,,,,678.516,-384.916,58.519,352.119
"Plan 2015",,,-80.634,,,-100,,,,-80.734,455.300,22.124,161.900,7.307,15.000,96.112,757.742,677.008,,,,677.008,,,,677.008,-386.958,58.540,348.590
"1113","Seniorenvertretung",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-531,,,,-6,-1.102,,-1.639,19.117,2.310,9.258,1.077,2.025,11.854,45.640,44.001,,,,44.001,-3,6,4,44.004,-48.038,4.034,
"Ansatz 2010",,,-5,,,,-3,,,-8,46.927,909,4.688,256,,13.707,66.487,66.479,,,,66.479,,,,66.479,-70.453,3.974,
"Ansatz 2011",,,,,,,-3,,,-3,15.205,2.786,3.079,,,7.166,28.236,28.233,,,,28.233,,,,28.233,-29.467,1.233,
"Plan 2012",,,,,,,,,,,12.641,1.740,2.786,374,,6.990,24.530,24.530,,,,24.530,,,,24.530,-25.467,937,
"Plan 2013",,,,,,,,,,,13.304,2.543,2.786,374,,7.001,26.007,26.007,,,,26.007,,,,26.007,-26.950,943,
"Plan 2014",,,,,,,,,,,13.349,2.512,2.786,374,,6.997,26.017,26.017,,,,26.017,,,,26.017,-26.954,937,
"Plan 2015",,,,,,,,,,,13.477,2.526,2.786,374,,6.998,26.160,26.160,,,,26.160,,,,26.160,-27.097,937,
"1114","Strategische Soziale Planung",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-479,,,,-38,-40.533,,-41.050,416.682,21.382,14.390,5.553,,3.159,461.165,420.115,,,,420.115,,,,420.115,-307.838,37.244,149.521
"Ansatz 2010",,,,,,,-20,,,-20,429.263,7.972,24.800,150,,9.400,471.585,471.565,,,,471.565,,,,471.565,-433.357,42.719,80.927
"Ansatz 2011",,,,,,,-20,,,-20,419.392,10.819,16.582,,,17.700,464.493,464.473,,,,464.473,,,,464.473,-433.357,40.320,71.436
"Plan 2012",,,-450,,,,,,,-450,420.031,8.109,22.282,5.492,,12.004,467.919,467.470,,,,467.470,,,,467.470,-488.944,34.361,12.886
"Plan 2013",,,-450,,,,,,,-450,424.466,11.868,22.283,5.492,,12.046,476.155,475.706,,,,475.706,,,,475.706,-467.272,35.238,43.672
"Plan 2014",,,-450,,,,,,,-450,425.756,11.716,22.283,5.492,,12.033,477.280,476.830,,,,476.830,,,,476.830,-467.272,34.795,44.353
"Plan 2015",,,-450,,,,,,,-450,426.844,11.698,22.282,5.491,,12.034,478.349,477.899,,,,477.899,,,,477.899,-467.272,34.965,45.592
"1115","Strukturmanagement",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-474,,,,-41,-10.904,,-11.419,721.411,,7.725,2.456,,168,731.759,720.341,,,,720.341,,,,720.341,73,14.255,734.669
"Ansatz 2010",,,-52,,,,-20,,,-72,83.379,2.313,10.044,272,,2.060,98.068,97.996,,,,97.996,,,,97.996,-20,15.509,113.485
"Ansatz 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plan 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plan 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plan 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plan 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1116","Personalvertretung",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-1.381,,,,-154,-69.578,,-71.112,928.360,157.600,29.291,9.667,240,42.921,1.168.079,1.096.967,,,,1.096.967,,,,1.096.967,-793.080,54.809,358.696
"Ansatz 2010",,,-78,,,,-81,,,-160,889.828,51.328,34.374,1.318,,47.600,1.024.448,1.024.288,,,,1.024.288,,,,1.024.288,-1.086.973,62.685,
"Ansatz 2011",,,,,,,-81,,,-81,973.913,71.073,34.419,999,,47.600,1.128.005,1.127.923,,,,1.127.923,,,,1.127.923,-1.187.842,59.918,
"Plan 2012",,,-236,,,,,,,-236,977.521,53.190,34.261,9.757,,47.633,1.122.361,1.122.126,,,,1.122.126,,,,1.122.126,-1.182.487,60.361,
"Plan 2013",,,-236,,,,,,,-236,1.006.000,77.854,34.261,9.758,,47.953,1.175.826,1.175.590,,,,1.175.590,,,,1.175.590,-1.236.199,60.608,
"Plan 2014",,,-236,,,,,,,-236,1.014.270,76.930,34.261,9.758,,47.851,1.183.071,1.182.835,,,,1.182.835,,,,1.182.835,-1.243.176,60.341,
"Plan 2015",,,-236,,,,,,,-236,1.021.852,77.192,34.261,9.758,,47.856,1.190.919,1.190.683,,,,1.190.683,,,,1.190.683,-1.251.018,60.335,
"1117","Vertretung der Schwerbehinderten",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-540,,,,,-19.844,,-20.384,160.116,,3.747,821,,22.702,187.385,167.001,,,,167.001,,,,167.001,-195.077,14.576,-13.500
"Ansatz 2010",,,-384,,,,,,,-384,167.289,,6.650,1.264,,31.100,206.303,205.918,,,,205.918,,,,205.918,-221.439,15.521,
"Ansatz 2011",,,,,,,,,,,171.192,,6.670,599,,25.800,204.262,204.262,,,,204.262,,,,204.262,-218.101,13.840,
"Plan 2012",,,-384,,,,,,,-384,172.695,,6.671,1.264,,47.000,227.629,227.244,,,,227.244,,,,227.244,-241.327,14.082,
"Plan 2013",,,-384,,,,,,,-384,175.196,,6.671,1.265,,47.000,230.131,229.747,,,,229.747,,,,229.747,-243.894,14.147,
"Plan 2014",,,-371,,,,,,,-371,176.997,,6.671,1.247,,47.000,231.915,231.544,,,,231.544,,,,231.544,-245.619,14.075,
"Plan 2015",,,-255,,,,,,,-255,178.398,,6.671,1.089,,47.000,233.157,232.902,,,,232.902,,,,232.902,-246.974,14.072,
"1118","Planungs- u. Baumanagement",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-154,,,,-80,-31.339,,-31.574,246.724,59.686,11.035,3.013,,35.836,356.294,324.721,,,,324.721,,,,324.721,-275.150,30.782,80.352
"Ansatz 2010",,,,,,,-61,,,-61,195.494,22.836,12.200,154,,46.400,277.083,277.022,,,,277.022,,,,277.022,-230.782,37.243,83.483
"Ansatz 2011",,,,,,,-61,,,-61,148.255,34.791,12.260,,,46.400,241.706,241.644,,,,241.644,,,,241.644,-221.662,33.659,53.642
